Time (min),Temperature (°C),Compressor State,Error (°C),Perturbation (°C)
238,21.40000000000001,0,-0.5999999999999908,0.0
239,21.40000000000001,0,-0.5999999999999908,0.0
240,21.40000000000001,0,-0.5999999999999908,0.0
241,21.40000000000001,0,-0.5999999999999908,0.0
242,21.40000000000001,0,-0.5999999999999908,0.0
243,21.40000000000001,0,-0.5999999999999908,0.0
244,21.40000000000001,0,-0.5999999999999908,0.0
245,21.40000000000001,0,-0.5999999999999908,0.0
246,21.40000000000001,0,-0.5999999999999908,0.0
247,21.40000000000001,0,-0.5999999999999908,0.0
248,21.40000000000001,0,-0.5999999999999908,0.0
249,21.40000000000001,0,-0.5999999999999908,0.0
250,21.40000000000001,0,-0.5999999999999908,0.0
251,21.40000000000001,0,-0.5999999999999908,0.0
252,21.40000000000001,0,-0.5999999999999908,0.0
253,21.40000000000001,0,-0.5999999999999908,0.0
254,21.40000000000001,0,-0.5999999999999908,0.0
255,21.40000000000001,0,-0.5999999999999908,0.0
256,21.40000000000001,0,-0.5999999999999908,0.0
257,21.40000000000001,0,-0.5999999999999908,0.0
258,21.40000000000001,0,-0.5999999999999908,0.0
259,21.40000000000001,0,-0.5999999999999908,0.0
260,21.40000000000001,0,-0.5999999999999908,0.0
261,21.40000000000001,0,-0.5999999999999908,0.0
262,21.40000000000001,0,-0.5999999999999908,0.0
263,21.40000000000001,0,-0.5999999999999908,0.0
264,21.40000000000001,0,-0.5999999999999908,0.0
265,21.40000000000001,0,-0.5999999999999908,0.0
266,21.40000000000001,0,-0.5999999999999908,0.0
267,21.40000000000001,0,-0.5999999999999908,0.0
268,21.40000000000001,0,-0.5999999999999908,0.0
269,21.40000000000001,0,-0.5999999999999908,0.0
270,21.40000000000001,0,-0.5999999999999908,0.0
271,21.40000000000001,0,-0.5999999999999908,0.0
272,21.40000000000001,0,-0.5999999999999908,0.0
273,21.40000000000001,0,-0.5999999999999908,0.0
274,21.40000000000001,0,-0.5999999999999908,0.0
275,21.40000000000001,0,-0.5999999999999908,0.0
276,21.40000000000001,0,-0.5999999999999908,0.0
277,21.40000000000001,0,-0.5999999999999908,0.0
278,21.40000000000001,0,-0.5999999999999908,0.0
279,21.40000000000001,0,-0.5999999999999908,0.0
280,21.40000000000001,0,-0.5999999999999908,0.0
281,21.40000000000001,0,-0.5999999999999908,0.0
282,21.40000000000001,0,-0.5999999999999908,0.0
283,21.40000000000001,0,-0.5999999999999908,0.0
284,21.40000000000001,0,-0.5999999999999908,0.0
285,21.40000000000001,0,-0.5999999999999908,0.0
286,21.40000000000001,0,-0.5999999999999908,0.0
287,21.40000000000001,0,-0.5999999999999908,0.0
288,21.40000000000001,0,-0.5999999999999908,0.0
289,21.40000000000001,0,-0.5999999999999908,0.0
290,21.40000000000001,0,-0.5999999999999908,0.0
291,21.40000000000001,0,-0.5999999999999908,0.0
292,21.40000000000001,0,-0.5999999999999908,0.0
293,21.40000000000001,0,-0.5999999999999908,0.0
294,21.40000000000001,0,-0.5999999999999908,0.0
295,21.40000000000001,0,-0.5999999999999908,0.0
296,21.40000000000001,0,-0.5999999999999908,0.0
297,21.40000000000001,0,-0.5999999999999908,0.0
298,21.40000000000001,0,-0.5999999999999908,0.0
299,21.40000000000001,0,-0.5999999999999908,0.0
300,21.40000000000001,0,-0.5999999999999908,0.0
301,21.40000000000001,0,-0.5999999999999908,0.0
302,21.40000000000001,0,-0.5999999999999908,0.0
303,21.40000000000001,0,-0.5999999999999908,0.0
304,21.40000000000001,0,-0.5999999999999908,0.0
305,21.40000000000001,0,-0.5999999999999908,0.0
306,21.40000000000001,0,-0.5999999999999908,0.0
307,21.40000000000001,0,-0.5999999999999908,0.0
308,21.40000000000001,0,-0.5999999999999908,0.0
309,21.40000000000001,0,-0.5999999999999908,0.0
310,21.40000000000001,0,-0.5999999999999908,0.0
311,21.40000000000001,0,-0.5999999999999908,0.0
312,21.40000000000001,0,-0.5999999999999908,0.0
313,21.40000000000001,0,-0.5999999999999908,0.0
314,21.40000000000001,0,-0.5999999999999908,0.0
315,21.40000000000001,0,-0.5999999999999908,0.0
316,21.40000000000001,0,-0.5999999999999908,0.0
317,21.40000000000001,0,-0.5999999999999908,0.0
318,21.40000000000001,0,-0.5999999999999908,0.0
319,21.40000000000001,0,-0.5999999999999908,0.0
320,21.40000000000001,0,-0.5999999999999908,0.0
321,21.40000000000001,0,-0.5999999999999908,0.0
322,21.40000000000001,0,-0.5999999999999908,0.0
323,21.40000000000001,0,-0.5999999999999908,0.0
324,21.40000000000001,0,-0.5999999999999908,0.0
325,21.40000000000001,0,-0.5999999999999908,0.0
326,21.40000000000001,0,-0.5999999999999908,0.0
327,21.40000000000001,0,-0.5999999999999908,0.0
328,21.40000000000001,0,-0.5999999999999908,0.0
329,21.40000000000001,0,-0.5999999999999908,0.0
330,21.40000000000001,0,-0.5999999999999908,0.0
331,21.40000000000001,0,-0.5999999999999908,0.0
332,21.40000000000001,0,-0.5999999999999908,0.0
333,21.40000000000001,0,-0.5999999999999908,0.0
334,21.40000000000001,0,-0.5999999999999908,0.0
335,21.40000000000001,0,-0.5999999999999908,0.0
336,21.40000000000001,0,-0.5999999999999908,0.0
337,21.40000000000001,0,-0.5999999999999908,0.0
338,21.40000000000001,0,-0.5999999999999908,0.0
339,21.40000000000001,0,-0.5999999999999908,0.0
340,21.40000000000001,0,-0.5999999999999908,0.0
341,21.40000000000001,0,-0.5999999999999908,0.0
342,21.40000000000001,0,-0.5999999999999908,0.0
343,21.40000000000001,0,-0.5999999999999908,0.0
344,21.40000000000001,0,-0.5999999999999908,0.0
345,21.40000000000001,0,-0.5999999999999908,0.0
346,21.40000000000001,0,-0.5999999999999908,0.0
347,21.40000000000001,0,-0.5999999999999908,0.0
348,21.40000000000001,0,-0.5999999999999908,0.0
349,21.40000000000001,0,-0.5999999999999908,0.0
350,21.40000000000001,0,-0.5999999999999908,0.0
351,21.40000000000001,0,-0.5999999999999908,0.0
352,21.40000000000001,0,-0.5999999999999908,0.0
353,21.40000000000001,0,-0.5999999999999908,0.0
354,21.40000000000001,0,-0.5999999999999908,0.0
355,21.40000000000001,0,-0.5999999999999908,0.0
356,21.40000000000001,0,-0.5999999999999908,0.0
357,21.40000000000001,0,-0.5999999999999908,0.0
358,21.40000000000001,0,-0.5999999999999908,0.0
359,21.40000000000001,0,-0.5999999999999908,0.0
360,21.40000000000001,0,-0.5999999999999908,0.0
361,21.40000000000001,0,-0.5999999999999908,0.0
362,21.40000000000001,0,-0.5999999999999908,0.0
363,21.40000000000001,0,-0.5999999999999908,0.0
364,21.40000000000001,0,-0.5999999999999908,0.0
365,21.40000000000001,0,-0.5999999999999908,0.0
366,21.40000000000001,0,-0.5999999999999908,0.0
367,21.40000000000001,0,-0.5999999999999908,0.0
368,21.40000000000001,0,-0.5999999999999908,0.0
369,21.40000000000001,0,-0.5999999999999908,0.0
370,21.40000000000001,0,-0.5999999999999908,0.0
371,21.40000000000001,0,-0.5999999999999908,0.0
372,21.40000000000001,0,-0.5999999999999908,0.0
373,21.40000000000001,0,-0.5999999999999908,0.0
374,21.40000000000001,0,-0.5999999999999908,0.0
375,21.40000000000001,0,-0.5999999999999908,0.0
376,21.40000000000001,0,-0.5999999999999908,0.0
